Title,Description
Definisi Kesehatan Mental,"Kesehatan mental adalah kondisi dimana seseorang memiliki kesejahteraan yang terlihat dari dirinya yang mampu menyadari potensinya sendiri, memiliki kemampuan untuk mengatasi tekanan hidup dan normal di setiap situasi dalam kehidupan, mampu bekerja secara produktif dan menghasilkan, serta mampu memberikan kontribusi kepada komunitasnya. 
Menurut Federasi Kesehatan Mental Dunia (World Federation for Mental Health) menjelaskan pengertian dari kesehatan mental sebagai kondisi yang memungkinkan adanya perkembangan yang baik secara fisik, intelektual dan emosional, sepanjang hal itu sesuai dengan keadaan orang lain.
Kesehatan mental yang baik memiliki kondisi batin yang berada dalam keadaan tentram, tenang dan positif, sehingga hal tersebut membuat seseorang untuk menikmati kehidupan sehari-hari dan menghargai orang lain di sekitar. Namun ketika sebaliknya ketika memiliki gangguan kesehatan mental maka akan menimbulkan dampak seperti: emosi selalu tinggi dan cepat marah dan mengalami sakit yang tidak dapat dijelaskan."
Definisi Depresi,"Depresi adalah sebuah kelainan suasana hati yang memengaruhi pikiran, perasaan, dan perilaku seseorang. Seseorang yang mengalami depresi mungkin merasa sedih, cemas, kehilangan minat terhadap aktivitas yang biasanya mereka sukai, merasa tidak berharga, atau memiliki pemikiran negatif yang berulang tentang diri sendiri, kehidupan, atau kematian. Depresi dapat menyebabkan penurunan energi, gangguan tidur, perubahan nafsu makan, dan masalah fisik lainnya. Depresi atau gangguan depresi mayor adalah gangguan kesehatan mental yang memengaruhi perasaan, cara berpikir dan cara bertindak seseorang. Gejala depresi pada seseorang yang paling umum adalah merasa sedih dan kehilangan minat untuk melakukan aktivitas yang biasa mereka lakukan. Kondisi ini kemudian dapat menyebabkan berbagai masalah emosional dan fisik. Efek depresi dapat berlangsung lama atau bahkan berulang dan mampu memengaruhi kemampuan seseorang menjalani aktivitas sehari-hari. Tidak hanya itu, gangguan kesehatan ini juga dapat memburuk dan bertahan lebih lama bila tak mendapatkan penanganan."
Bentuk-Bentuk  Depresi,"Depresi terbagi menjadi beberapa jenis berdasarkan tingkat keparahan dan apa yang menjadi penyebabnya.
Berikut penjelasan untuk setiap jenisnya:
1. Depresi mayor
Jenis gangguan kesehatan mental ini muncul dengan gejala berupa perasaan sedih, mengalami kehilangan minat, atau gejala pada umumnya.
Kondisi ini bisa muncul setiap waktu dan berlangsung selama sekitar 2 minggu atau bahkan lebih. 
2. Distimia
Selain itu, ada pula distimia atau gejala depresi yang kronis (persistent depressive disorder). Jenis ini termasuk dalam depresi mayor yang telah terjadi dalam waktu yang lama, yaitu setidaknya selama 2 tahun.
3. Gangguan bipolar
Kemudian, ada pula gangguan bipolar, masalah suasana hari yang muncul dengan gejala berupa perubahan emosi dan suasana hati yang drastis pada dua rentang waktu.
Ketika mengalami masalah kesehatan mental ini, seseorang dapat berada pada fase mania atau senang berlebihan dan depresi mayor (perasaan sedih dan putus asa). 
4. Depresi postpartum
Jenis depresi ini sangat umum terjadi pada ibu yang baru melalui proses persalinan.
Biasanya, kondisi ini muncul dengan gejala depresi mayor dalam waktu kurang lebih 1 tahun setelah persalinan. 
5. Premenstrual dysphoric disorder (PMDD)
PMDD adalah gangguan mental yang identik dengan wanita. Gejalanya bisa terlihat sekitar 1 minggu sebelum hari menstruasi untuk beberapa wanita, lalu menghilang ketika haid tiba.
Namun, gangguan ini tidak sama dengan gejala dari PMS atau Premenstrual Syndrome.
6. Depresi atipikal (atypical depression)
Jenis ini biasanya muncul dengan beberapa gejala depresi yang tidak khas. Misalnya, kenaikan berat badan yang signifikan, terlalu banyak tidur, penolakan, dan sedih yang berlebihan.
Umumnya, gejala ini akan mulai mereda jika pengidapnya mengalami kejadian atau suasana yang positif. 
7. Psychotic depression
Terakhir, ada psychotic depression, kondisi gangguan kesehatan mental yang muncul pada seseorang yang mengalami depresi yang parah bersamaan dengan gejala psikotik, misalnya delusi, halusinasi, dan masalah pola pikir."
Penyebab Depresi,"Sayangnya, ahli belum mengetahui apa yang menjadi penyebab depresi secara pasti.
Namun, mereka menduga bahwa kelainan kesehatan mental ini terjadi karena beberapa faktor pemicu berikut ini. 
Masalah biologis. Seseorang yang mengidap depresi kemungkinan mengalami perubahan fisik pada otak. Meski begitu, tingkat signifikan dari perubahan ini belum pasti, meski akhirnya dapat membantu menentukan sesuatu yang jadi penyebabnya.
Gangguan kimia pada otak. Neurotransmitter adalah bahan kimia pada otak yang terbentuk secara alami dan kabarnya memiliki peran dalam terbentuknya depresi. Studi menyebutkan jika perubahan fungsi dan efek neurotransmitter ini dapat memengaruhi stabilitas suasana hati sehingga berdampak pula pada tingkat depresi pada seseorang.
Gangguan hormon. Perubahan atau gangguan pada keseimbangan hormon dapat memicu terjadinya depresi. Hal ini kerap terjadi selama kehamilan dan beberapa minggu atau bulan setelahnya (pascapartum). Selain itu, seseorang yang mengalami masalah tiroid, menopause, serta beberapa kondisi lainnya juga memiliki risiko tinggi pada depresi.
Penyakit keturunan. Masalah kesehatan mental ini lebih berisiko terjadi pada seseorang dengan keluarga inti yang pernah mengalami kondisi serupa. Ahli menyebutkan, gen dapat memengaruhi risiko dari penyebab depresi.
Peristiwa kehidupan. Mengalami stres, kematian orang tersayang, peristiwa yang mengecewakan (trauma), isolasi dan kurangnya dukungan dapat menyebabkan depresi.
Kondisi medis. Rasa sakit dan penyakit fisik yang berkelanjutan dapat menyebabkan depresi. Pengidap penyakit kronis seperti diabetes, kanker, dan penyakit Parkinson lebih rentan mengalami depresi.
Obat. Beberapa obat memiliki efek samping depresi. Narkoba dan alkohol juga dapat menyebabkan depresi atau memperburuknya.
Kepribadian. Seseorang yang mudah kewalahan atau mengalami kesulitan mengatasi situasi tertentu lebih rentan terhadap depresi."
Faktor Risiko Depresi,"Depresi umumnya terjadi pada remaja pada rentang usia antara 20 hingga 30-an, meski semua rentang usia juga memiliki risiko tersendiri.
Wanita lebih berisiko mengalami depresi daripada pria, tetapi wanita juga lebih cepat untuk mencari bantuan profesional. 
Sementara itu, depresi yang terjadi pada usia paruh baya atau orang dewasa yang lebih tua dapat muncul bersamaan dengan penyakit medis serius lainnya. Contohnya diabetes, kanker, penyakit jantung, dan penyakit Parkinson. 
Penyakit kronis tersebut sering kali lebih buruk ketika depresi hadir. Terkadang obat untuk penyakit tersebut dapat menyebabkan efek samping yang berkontribusi pada depresi.
Beberapa faktor yang dapat memicu terjadinya gangguan kesehatan mental ini, antara lain:
Memiliki riwayat gangguan kesehatan mental pada keluarga.
Menyalahgunakan alkohol atau obat terlarang.
Memiliki ciri kepribadian tertentu, seperti rendah diri, terlalu keras dalam menilai diri sendiri, pesimis, atau terlalu bergantung kepada orang lain.
Mengidap penyakit kronis atau serius, seperti gangguan hormon tiroid, cedera kepala, HIV/AIDS, diabetes, kanker, stroke, nyeri kronis, atau penyakit jantung.
Mengonsumsi obat-obatan tertentu, seperti beberapa obat tekanan darah tinggi atau obat tidur.
Mengalami kejadian traumatik, seperti kekerasan seksual, kematian, kehilangan orang yang dicintai, atau masalah keuangan."
Ciri-Ciri Depresi,"Gejala depresi dapat kamu perhatikan dari dua hal, yaitu kejiwaan dan fisik. Dari aspek kejiwaan, gangguan mental ini memiliki ciri sebagai berikut: 
Sering menyalahkan diri sendiri karena selalu memiliki rasa bersalah. 
Kerap merasa rendah diri, tidak berharga, dan putus asa.
Selalu merasa khawatir dan cemas yang berlebihan.
Memiliki suasana hati yang buruk atau sering merasa sedih berlebihan. 
Sensitif, mudah marah, dan lebih sering menangis. 
Kesulitan berpikir, mengambil keputusan, dan berkonsentrasi.
Menunjukkan sikap apatis pada lingkungan sekitar.
Tidak menunjukkan ketertarikan dan tidak mempunyai motivasi untuk semua hal (anhedonia).
Selalu memiliki pikiran untuk menyakiti diri sendiri atau melakukan percobaan bunuh diri. 
Sementara itu, gejala depresi secara fisik yang bisa terlihat, antara lain: 
Tubuh merasa kelelahan dan tidak bertenaga.
Nafsu makan menurun atau bahkan tidak berselera.
Mengalami sulit tidur atau justru tidur berlebihan. 
Nyeri dan pusing tanpa penyebab yang jelas.
Bicara dan gerak tubuh yang lebih lambat daripada biasanya.
Penurunan atau hilangnya gairah seksual. 
Berat badan naik atau justru menurun.
Masalah depresi tidak selalu menunjukkan gejala yang serupa. Ini bergantung pada tingkat keparahan pada setiap pengidapnya.
Tingkat ringan dari gangguan mental ini bisa mengganggu aktivitas, produktivitas, dan relasi sosial.
Sementara itu, pada depresi yang parah, pengidapnya tidak dapat beraktivitas dan menjalin hubungan dengan orang lain. "
 Diagnosis Gejala Depresi,"Dokter akan mendiagnosis depresi dengan melakukan wawancara medis, pemeriksaan fisik, pemeriksaan psikologis, serta pemeriksaan penunjang seperti pemeriksaan darah jika memang perlu. 
Pemeriksaan tersebut memiliki tujuan untuk mengetahui apa yang menjadi penyebab dan gejala depresi.
Berikut penjelasan lebih lengkapnya:
Pemeriksaan fisik. Dokter akan melakukan pemeriksaan fisik dan mengajukan pertanyaan yang berhubungan dengan kondisi kesehatan.Dalam beberapa kasus, depresi yang muncul memiliki kaitan dengan masalah kesehatan fisik yang menjadi penyebabnya. Nah, Ketahui Metode dan Tes untuk Mengetahui Depresi pada Seseorang.
Tes laboratorium. Pemeriksaan ini bertujuan untuk memastikan gangguan kelenjar tiroid yang menjadi salah satu pemicu depresi melalui hitung darah lengkap. Ahli medis dapat menilai jika terdapat gangguan pada organ tersebut sehingga langsung melakukan penanganan.
Pemeriksaan mental. Psikolog atau psikiater akan bertanya tentang gejala yang muncul, termasuk pikiran, perasaan, serta pola perilaku. Selain itu, dokter juga meminta pengidap mengisi kuesioner untuk menjawab beberapa pertanyaan guna menilai kesehatan mental.
DSM-5. Dokter juga dapat menggunakan kriteria untuk depresi sesuai dengan Diagnostic and Statistical Manual of Mental Disorders (DSM-5) dari American Psychiatric Association.
Kadang mengikuti tes sederhana seperti depression test yang ada di Halodoc juga bisa membantu mengenali tanda depresi."
Pengobatan Gejala Depresi,"Hidup dengan depresi memang tidak mudah, tetapi pengobatan dapat membantu meningkatkan kualitas hidup pengidapnya. Ketika hasil seluruh rangkaian pemeriksaan menunjukkan jika pasien positif depresi, penanganan lebih lanjut akan dilakukan. Langkah pengobatan mencakup psikoterapi, terapi obat-obatan, terapi perilaku kognitif, atau terapi kejut listrik. Sejumlah metode tersebut dipilih berdasarkan kondisi pasien dan tingkat keparahan depresi yang dialami. Berikut ini penjelasan mengenai jenis-jenis terapi tersebut:
1. Psikoterapi
Psikiater merupakan tahap awal pengobatan yang dilakukan dengan melakukan wawancara dengan pengidap. Terapi ini dilakukan untuk mengukur beberapa aspek, seperti sudut pandang negatif terhadap situasi, pengalaman buruk yang menjadi pemicu depresi, komunikasi dan hubungan dengan orang lain, serta emosi yang dialami.
2. Terapi Obat-Obatan
Depresi yang dialami oleh seseorang terjadi akibat senyawa kimia di otak. Nah, penggunaan obat-obatan yang diberikan psikiater berguna untuk menyeimbangkan senyawa kimia tersebut. Obat yang diberikan tidak akan menimbulkan kecanduan, dan biasanya sudah menampakkan hasil dalam 1-2 minggu pertama setelah dikonsumsi. Hasil keseluruhan dapat terlihat dalam 2-3 bulan mendatang.3. Terapi Perilaku Kognitif
Terapi perilaku kognitif menjadi metode mengatasi depresi selanjutnya yang dilakukan dengan fokus pada pemecahan masalah. Dengan terapi ini, pengidap dibantu memahami pemikiran yang menyimpang, dan diajarkan untuk mengubah pemikiran tersebut. Terapi ini biasanya dilakukan dalam 10-15 kali sesi pertemuan, tergantung pada tingkat keparahan depresi.
4. Terapi Elektrokonvulsif (ECT)
ECT atau yang lebih dikenal dengan terapi kejut listrik adalah perawatan medis yang digunakan pada pengidap depresi berat atau gangguan bipolar yang tidak dapat diatasi menggunakan metode lain. ECT dilakukan dengan stimulasi listrik dalam waktu singkat saat pasien berada di bawah anestesi. Metode ini biasanya dilakukan 6-12 kali sesi pertemuan, sebanyak 2-3 kali dalam seminggu.
Cobalah temui ahli medis untuk meminta bantuan pengobatan agar menjadi lebih baik. Jika masih tergolong ringan, perawatan diri sendiri mungkin bisa membantu. 
Jika perawatan mandiri sudah tidak efektif, pengidap mungkin memerlukan konseling psikiater atau obat resep dari dokter.
5. Perawatan mandiri
Perawatan mandiri bisa menjadi pilihan terbaik untuk mengatasi depresi yang ringan. Bagi banyak orang, olahraga teratur membantu menciptakan perasaan positif dan  meningkatkan suasana hati.
Mendapatkan kualitas tidur yang cukup, mengonsumsi makanan sehat dan menghindari alkohol (depresan) juga bisa membantu mengurangi gejalanya.
"
Komplikasi Depresi,"Depresi adalah gangguan kesehatan mental serius yang bisa berakibat fatal bagi pengidap maupun keluarga.
Gangguan ini sering kali menjadi lebih buruk bila tidak mendapat penanganan dan mengakibatkan masalah emosional, perilaku dan kesehatan yang memengaruhi kehidupan.
Beberapa komplikasi yang bisa terjadi termasuk:
Kelebihan berat badan atau obesitas yang bisa menyebabkan penyakit jantung dan diabetes.
Penyakit fisik.
Pelarian berupa alkohol atau penyalahgunaan narkoba.
Kecemasan, gangguan panik atau fobia sosial.
Menimbulkan konflik keluarga, kesulitan hubungan, dan masalah pekerjaan atau sekolah.
Isolasi sosial.
Muncul perasaan ingin bunuh diri, percobaan bunuh diri, atau bunuh diri.
Keinginan untuk mutilasi diri.
Kematian dini akibat kondisi medis."
Pencegahan Depresi,"Sayangnya, ahli belum mengetahui secara pasti langkah yang efektif untuk mencegah munculnya gejala depresi.
Namun, jika kamu mengalaminya, akan lebih baik untuk mencegah kekambuhan dengan mempelajari beberapa cara yang efektif. 
Contohnya, perubahan gaya hidup dan pengobatan yang efektif. Beberapa cara lain yang bisa kamu lakukan untuk mencegah kondisi ini, antara lain:
1. Jaga kesehatan fisik
Lakukan olahraga secara teratur, makan makanan sehat, tidur yang cukup, dan hindari kebiasaan merokok atau mengonsumsi alkohol secara berlebihan.
Kesehatan fisik yang baik dapat membantu meningkatkan mood dan meredakan stres.
2. Kelola stres dengan baik
Cari cara untuk mengatasi stres, seperti meditasi, yoga, atau aktivitas yang kamu sukai. Berbicara dengan orang terdekat atau terapis juga bisa membantu.
3. Tetap aktif secara sosial
Pertahankan hubungan yang positif dengan keluarga, teman, dan lingkungan sekitar. Jangan ragu untuk mencari dukungan ketika merasa tertekan atau kesepian.
4. Cari hobi dan aktivitas yang menyenangkan
Temukan kegiatan yang kamu sukai, seperti membaca buku, melukis, berkebun, atau bermain musik. Hobi dapat memberikan perasaan bahagia dan memperkuat rasa pencapaian.
5. Batasi penggunaan media sosial
Terlalu banyak menghabiskan waktu di media sosial dapat menyebabkan perasaan tidak adanya dukungan dan tekanan untuk selalu membandingkan diri dengan orang lain. Oleh sebab itu, batasi penggunaan media sosial.
6. Atur waktu dengan baik
Beri diri sendiri waktu untuk bersantai dan beristirahat. Jangan terlalu sibuk atau terlalu banyak bekerja. Sebab, terlalu banyak bekerja bisa memicu stres dan berujung depresi apabila tak tertangani.
7. Kenali tanda-tanda awalnya
Jika kamu merasa mulai mengalami gejala gangguan kesehatan mental ini, segera cari bantuan dari profesional kesehatan mental. Jangan menunggu kondisinya semakin memburuk. 
Sebab, kondisi yang tak tertangani bisa berdampak negatif untuk kesehatan fisik maupun mental. 
8. Jangan mengisolasi diri
Ketika merasa tertekan atau sedih, jangan mengisolasi diri. Cobalah untuk tetap terhubung dengan orang lain dan bicarakan perasaan.
Mengisolasi diri justru bisa membuat pikiran semakin negatif."
